phone,fullname,address,date,timezone,mac_address,random_number,longitude,bank_country,pricetag,city,iso8601,latitude
+41 784560329,Timon Käser,"Müllerstrasse 431
6442 Davos",1998-06-21,Indian/Comoro,3e:59:f5:23:08:51,6689,-74.881238,CH,$780.03,Sitten,1980-04-12T13:08:48,-6.154935
+41786480165,Damjan Kaiser,"Bosshardstrasse 79
5711 Aarau",2018-04-27,Asia/Qyzylorda,f3:aa:e7:ef:61:26,805506243,169.160926,CH,$1.80,Lenzburg,1975-07-28T16:27:41,-51.633651
+41(0)767832960,Cecilia Hug,"Martinstrasse 122
4704 Vernier",2004-02-26,Africa/Tunis,cf:b7:af:01:9f:be,1,142.553248,CH,"$29,632.51",Richterswil,2005-04-16T06:10:04,52.6655525
+41 0775832085,Dominic Stocker,"Albrechtstrasse 29
4701 Baar",1975-05-17,Asia/Seoul,52:1b:c2:fc:72:06,773961634,-39.660332,CH,"$11,322.53",Wohlen,1984-04-08T04:41:49,-57.3718085
+41761955745,Fatima Thommen,"Häfligerstrasse 17
2181 Glarus",1987-07-23,Europe/Oslo,0c:50:e1:6d:c0:f9,7888,-127.601992,CH,$3.13,Locarno,1972-07-13T16:38:11,-34.508112
+410797626866,Bluette Mayer,"Portmannstrasse 37
5706 Delsberg",1999-05-17,America/Guatemala,74:ec:1c:e6:db:a7,33575,-53.557043,CH,$720.20,Steffisburg,1992-03-09T00:41:57,-85.2471315
+41(0)766647800,Silvana Tanner,"Fehrstrasse 278
1225 Buchs",1999-12-06,Europe/Bratislava,34:d4:6e:39:b6:73,6190969,-50.735571,CH,$5.96,Le Grand-Saconnex,1970-07-28T10:02:56,47.107245
+410765963826,Susanne Wettstein,"Meisterstrasse 90
7758 Lausanne",1973-05-20,Pacific/Truk,74:16:b2:fb:a5:66,7,-91.142329,CH,$29.76,Meilen,2019-08-08T12:03:09,-44.4973795
+41 770574755,Ester Eugster,"Amreinstrasse 13
4771 Lugano",2010-03-04,Europe/Chisinau,88:1e:59:bf:16:86,593423197,58.422892,CH,"$2,075.70",Bassersdorf,2005-10-27T00:36:21,-35.522847
+410781185922,Valentino Wettstein,"Herzogstrasse 19
4112 Rüti",1974-05-15,Africa/Mogadishu,41:af:65:ef:16:32,668885466,96.098328,CH,"$2,401.43",Urdorf,2012-11-22T02:40:22,56.562905
+41795470546,Rosanna Rey,"Grafstrasse 4
2513 Richterswil",2001-11-04,Asia/Tehran,ae:51:e5:3c:c8:53,6917864,117.299250,CH,"$85,736.02",Richterswil,2007-12-25T22:43:17,-12.254000
+41786995454,Neil Schwarz,"Vogelstrasse 1
2225 Olten",2021-06-07,America/Havana,ca:ac:65:07:a5:91,2029600,31.140315,CH,"$63,447.05",Vevey,1988-12-23T17:07:37,-66.029879
+41 0786534883,Lino Leu,"Maurerstrasse 48
1522 Gossau",1996-06-28,America/St_Vincent,01:ee:21:be:eb:2a,7236249,41.576275,CH,$922.66,Gossau,2021-01-11T05:52:41,37.848497
+41 761015452,Shania Kuhn,"Probststrasse 42
5064 Schaffhausen",1989-02-09,Indian/Antananarivo,53:11:99:ac:da:de,74786762,149.073506,CH,$7.88,Chur,1981-07-30T03:52:03,-52.547211
0777083021,Hansjörg Beck,"Betschartstrasse 64
9679 Glarus",1989-11-27,Asia/Tbilisi,09:8f:c7:e6:eb:0a,589751,146.631673,CH,"$1,264.65",Zollikon,2017-07-30T04:31:01,52.079293
+410763707215,Sylvie Schuler,"Bauerstrasse 2
3676 Illnau-Effretikon",1973-12-20,America/Guatemala,42:00:ee:ad:8e:a8,813,-95.170983,CH,$4.16,Bern,1971-04-26T15:58:11,-35.793704
0782032001,Marlies Mettler,"Bergerstrasse 79
1012 La Chaux-de-Fonds",1994-12-05,Africa/Brazzaville,02:80:e8:f3:95:25,9,-122.148372,CH,$586.47,Wald,1971-12-12T02:14:16,-6.396963
+41 793235997,Mirlinda Felder,"Stockerstrasse 47
2911 Birsfelden",2001-02-02,Europe/Bratislava,26:f4:6f:5b:41:55,49174775,98.665056,CH,$581.96,Aesch,1997-12-24T14:43:33,-87.2245705
+41761954417,Dijana Egger,"Kellerstrasse 50
4864 Lugano",2019-05-24,Asia/Ashgabat,5b:75:f6:e6:e3:f8,2,116.256549,CH,$27.54,Weinfelden,1970-07-18T11:17:57,37.831690
+41 766577215,Valérie Winkler,"Kohlerstrasse 1
7524 Neuenburg",1984-11-26,Asia/Hovd,64:3f:a9:b9:0b:61,968400777,3.363664,CH,$83.00,Aarau,2014-01-16T12:41:38,5.178984
+410783415363,Mark Zingg,"Scherrerstrasse 33
5916 Davos",2008-10-30,Europe/Belgrade,71:17:c5:22:15:bf,664513,-64.426680,CH,$87.54,Gossau,1999-03-14T09:03:06,-20.036888
+41(0)780626324,Sabina Wenger,"Forsterstrasse 55
9417 Ittigen",2000-06-23,Asia/Tbilisi,2f:71:5c:91:0f:0a,64,87.530797,CH,$6.90,Muttenz,2016-09-10T08:38:56,-49.479383
+41(0)777150111,Dijana Martin,"Kellerstrasse 90
1250 Zug",2019-07-15,Africa/Freetown,2f:64:2c:af:c8:c2,67530730,83.429796,CH,$64.55,Küsnacht,2015-06-28T11:40:27,-26.053571
+41 784537679,Dean Leunberger,"Mayerstrasse 2
2727 Ebikon",2005-04-15,Africa/Freetown,f0:9b:91:89:d6:1c,68,50.294544,CH,$0.30,Baar,2009-02-22T16:52:28,-72.6939605
+41784613480,Mariangela Braun,"Bernasconistrasse 99
1969 Suhr",1992-04-26,Asia/Bangkok,f4:7c:6a:87:7b:4c,44433348,45.958780,CH,$43.88,Möhlin,1980-06-06T09:48:00,36.7128425
+410777162768,Mael Lutz,"Baumgartnerstrasse 5
3384 Pratteln",2009-08-23,Europe/Amsterdam,de:70:17:9b:09:0d,29723739,66.315186,CH,"$74,543.09",Regensdorf,2023-01-23T19:05:10,6.2412725
+41775777140,Carola Zingg,"Schürchstrasse 2
5862 Maur",2016-02-28,America/Barbados,c8:64:1e:d7:d2:fb,44,27.339868,CH,$66.50,Monthey,2003-12-24T05:10:53,10.640109
+41(0)772766714,Ramiz Wyss,"Wyssstrasse 90
7848 Cham",1999-10-29,Asia/Calcutta,47:d2:88:39:86:59,436,-59.812617,CH,$97.67,Zollikofen,1978-06-03T19:17:44,-11.566287
0777271468,Clarissa Iten,"Brunnerstrasse 6
8464 Lausanne",2001-08-05,America/Santo_Domingo,a0:e5:26:19:2a:1c,745,14.331417,CH,$66.18,Kloten,1988-11-10T07:41:13,60.9044885
0791514099,Mirco Wirth,"Bühlerstrasse 373
5920 Münsingen",1990-05-23,Africa/Accra,bc:aa:36:7a:af:01,1466457,137.305529,CH,"$9,878.41",Nyon,1975-01-12T03:45:34,66.0428975
+410761963176,Malea Giger,"Schmidtstrasse 269
8745 Schwyz",2012-05-15,Asia/Aden,63:59:ee:d0:e4:17,31,-9.372781,CH,"$1,312.09",Rheinfelden,1973-02-06T19:08:58,-24.0493555
+41 0771146670,Thomas Stauffer,"Blumstrasse 5
3067 Thônex",1983-08-23,Europe/Riga,45:92:fa:aa:86:29,75,159.542592,CH,$0.77,Ittigen,1975-08-14T06:59:32,-42.360939
0777661506,Juliette Baur,"Gigerstrasse 765
4369 Wil",2008-02-13,Africa/Windhoek,d7:71:77:27:25:6d,9771,-0.162911,CH,"$2,503.09",Neuhausen,1972-02-09T02:07:54,-49.7538365
+41 763635273,Yvonne Arnold,"Hofmannstrasse 36
6625 Liestal",2004-05-10,America/Montevideo,ff:f3:81:35:b7:f9,198913516,84.227949,CH,"$73,863.48",Pratteln,1976-08-23T13:10:00,81.958428
+41 0777571615,Grazia Vogt,"Hermannstrasse 64
9995 Vernier",1990-07-21,Asia/Muscat,29:d9:f2:3d:22:fe,6377,111.734842,CH,"$5,831.26",Oberwil,2002-10-09T02:14:37,38.1820135
+41 777476668,Gaëlle Müller,"Schäferstrasse 13
3931 Ittigen",2006-01-16,Europe/Bucharest,20:19:b0:04:9c:02,59679529,149.567164,CH,$766.62,Bernex,1993-09-13T01:41:59,37.600648
