email,zrnr,phone,company,bank_country,language_code,date,mac_address,pricetag,timezone
joëlle.baumann@gmail.com,JB-2247-5489-BANK,0794383256,"Berger, Stutz and Schmid",CH,br,1980-07-31,f6:29:e8:33:8f:bd,$610.12,Europe/Tallinn
andres.kohler@gmail.com,JB-0173-4760-BANK,0775353055,Bieri-Schäfer,CH,niu,1971-11-18,17:ac:39:99:4e:95,$88.95,Africa/Djibouti
alba.müller@hotmail.com,JB-0825-3758-BANK,+41(0)787136464,Frey Ltd,CH,am,1975-01-07,f5:8d:0f:9d:ec:b8,"$66,786.64",Pacific/Apia
péter.lutz@hotmail.com,JB-2879-7316-BANK,+41(0)764140737,Kaiser-Vogt,CH,ka,1986-12-05,a1:45:01:97:d6:0b,$806.28,Africa/Gaborone
zoe.imhof@msn.com,JB-5215-7429-BANK,+41(0)785226216,Bühlmann-Häfliger,CH,doi,1998-09-23,b5:3d:d7:ff:1a:6d,$84.07,Africa/Maputo
federica.ott@hotmail.com,JB-0121-3415-BANK,+41 0792437986,"Schär, Knecht and Fehr",CH,az,2001-11-13,52:88:cd:b1:04:5d,$190.98,Asia/Jerusalem
angelo.amrein@aol.com,JB-6223-7576-BANK,+410764871891,Felber PLC,CH,brx,2010-06-18,53:fd:33:7b:5d:8e,$2.60,Europe/Rome
fred.albrecht@gmail.com,JB-3235-6236-BANK,+41 0762661803,Stucki and Sons,CH,nr,1984-06-27,bb:a7:1d:06:f3:46,$718.25,Asia/Nicosia
jara.ackermann@gmail.com,JB-0106-3646-BANK,+41785793923,"Stalder, Eugster and Betschart",CH,sa,1972-01-02,cc:11:85:29:42:32,$0.38,Europe/Minsk
lauriane.leunberger@hotmail.com,JB-4655-7646-BANK,+41(0)795310198,"Wyss, Aebi and Kohler",CH,kw,2000-09-30,75:06:00:7f:54:3d,"$76,883.30",Atlantic/Reykjavik
josip.meyer@gmx.de,JB-0197-3330-BANK,0780441014,"Bader, Häfliger and Wirz",CH,ak,1983-02-14,b9:f6:a7:b8:74:78,$0.15,Asia/Oral
denis.rey@gmx.de,JB-2323-6640-BANK,+41(0)765440091,Wolf-Friedli,CH,ber,1992-02-15,4a:05:b6:69:4d:92,"$59,906.14",Europe/Riga
liliana.iten@gmail.com,JB-4511-3557-BANK,0790227667,Blum PLC,CH,ber,1995-06-04,22:1f:7f:cf:d1:f1,"$9,122.39",Asia/Tokyo
nevio.tobler@aol.com,JB-6855-1387-BANK,+410797291573,"Zimmermann, Gloor and Mayer",CH,yue,2014-03-07,fe:65:f2:12:ee:ee,$4.97,Africa/Abidjan
giuseppina.steiger@hotmail.com,JB-1119-6174-BANK,+41783964513,Ziegler-Probst,CH,ht,1993-11-09,4c:d6:b1:d4:48:62,$36.56,Africa/Blantyre
judith.berger@gmail.com,JB-1970-5031-BANK,+41 0774181041,Marti PLC,CH,mhr,2015-07-20,7a:03:a2:82:77:c4,$377.24,Europe/Bratislava
burak.baumann@proton.ch,JB-2834-3197-BANK,+41 775666031,Stalder PLC,CH,vi,2017-04-23,58:21:9a:4b:ce:76,$0.97,America/St_Lucia
nico.schürch@hotmail.com,JB-6849-3987-BANK,+41 0773154547,Wolf LLC,CH,ug,2009-09-30,76:86:55:95:f2:af,"$85,782.70",Africa/Kampala
umberto.vogt@hotmail.com,JB-6310-7009-BANK,+41(0)795933332,Müller-Schenk,CH,az,1990-03-12,62:52:08:80:ff:d1,"$2,529.28",Europe/Helsinki
melina.bühlmann@hotmail.com,JB-2379-7773-BANK,+41 0790850158,Vogel-Ackermann,CH,ht,2017-06-27,b6:5c:d2:c3:70:f0,$164.14,Indian/Mahe
samuel.steiner@gmail.com,JB-7200-1211-BANK,+41772771944,Hodel-Forster,CH,shs,1981-08-01,2f:bb:06:a7:31:fc,"$2,138.18",Europe/Prague
frida.steiner@msn.com,JB-2360-3491-BANK,0774595079,Sigrist and Sons,CH,aa,1993-11-04,9e:9e:a0:52:af:04,$143.66,Asia/Baku
adnan.steinmann@aol.com,JB-1855-4548-BANK,+41(0)787413025,Bader-Rey,CH,apn,2002-10-19,e8:f3:d5:29:9f:1c,$599.84,Indian/Mahe
aaron.michel@aol.com,JB-0647-3460-BANK,+41 796083131,Stocker Group,CH,ka,1996-10-10,43:7a:9b:ab:1a:0b,"$9,327.95",Europe/Chisinau
vitor.giger@aol.com,JB-4779-1064-BANK,+41(0)786270072,"Knecht, Kohler and Sidler",CH,it,2010-09-08,ad:7c:9c:2b:9e:b1,$2.03,America/Montevideo
arbnor.ackermann@aol.com,JB-6764-6082-BANK,+410770735782,"Schürch, Schweizer and Gerber",CH,nan,1992-11-03,ba:e4:74:77:a4:1b,$4.90,Asia/Jerusalem
bujar.baur@msn.com,JB-5464-1893-BANK,0790086329,Lehmann LLC,CH,kw,1984-11-24,b5:4f:37:1d:41:e8,$0.27,Europe/Vienna
mimoza.fehr@hotmail.com,JB-6855-7084-BANK,0762407606,"Bader, Wegmann and Moser",CH,hne,2019-06-06,d6:f2:d8:06:db:cb,"$37,173.02",Europe/Kiev
pirmin.stauffer@gmx.de,JB-2368-0104-BANK,+410771547817,"Peter, Fuchs and Betschart",CH,ur,2000-11-09,de:7b:88:e4:d1:d5,$96.31,America/Lima
brigitte.zbinden@gmx.de,JB-6102-4038-BANK,+41(0)764216738,"Bachmann, Grob and Kälin",CH,shs,2016-03-26,35:47:71:89:b7:89,"$22,835.70",Europe/Amsterdam
rico.schäfer@aol.com,JB-1077-6160-BANK,+410783966477,Wehrli and Sons,CH,tg,1974-01-05,b0:13:31:cf:c8:80,$27.50,Asia/Bishkek
hava.gerber@proton.ch,JB-4901-2278-BANK,0791816204,Mettler-Probst,CH,pt,1988-12-25,52:07:30:53:00:68,$57.01,Africa/Conakry
angel.benz@gmail.com,JB-5558-7268-BANK,+41782191157,Käser Inc,CH,ps,2013-05-04,78:f3:04:b0:1e:74,$142.47,Europe/Berlin
john.wüthrich@hotmail.com,JB-7005-3387-BANK,0776173619,Schweizer-Herzog,CH,en,1989-04-17,ee:91:c8:59:bf:53,"$6,607.46",America/Port_of_Spain
max.merz@proton.ch,JB-3576-7486-BANK,+41 780672145,Stalder-Stucki,CH,nr,2017-03-01,6c:4f:eb:5e:58:f8,"$15,700.36",America/Jamaica
samanta.suter@gmx.de,JB-7136-0253-BANK,+41(0)790182524,Benz-Betschart,CH,ro,1980-08-16,4c:a0:51:20:49:60,$0.05,Asia/Baku
pavel.schlatter@gmx.de,JB-1913-2765-BANK,+41773547377,Gfeller Group,CH,mr,1972-11-24,51:13:40:d1:47:bb,"$50,641.21",Asia/Qatar
deborah.gloor@hotmail.com,JB-7781-7975-BANK,+41 0783110528,"Haas, Wegmann and Zollinger",CH,sq,1974-10-04,52:6d:f0:0e:93:14,"$84,783.61",Europe/Malta
ian.weber@hotmail.com,JB-0331-3159-BANK,+41(0)780352231,Meili Group,CH,ms,2001-04-29,d2:2a:0d:7f:15:25,$69.76,Asia/Tbilisi
jolanda.blum@msn.com,JB-3238-2318-BANK,+41 0780572122,"Wolf, Siegrist and Roth",CH,sid,2017-11-07,31:38:33:cc:d4:30,$493.68,Asia/Singapore
hakan.peter@hotmail.com,JB-0228-2824-BANK,+41 0775855661,Widmer and Sons,CH,gez,2004-02-23,b7:34:73:ba:1c:f1,"$3,947.53",Africa/Accra
hanife.koch@hotmail.com,JB-1759-1316-BANK,+41 0765175736,Hunziker PLC,CH,wa,1977-02-11,89:5e:1b:71:49:0b,$789.22,Asia/Nicosia
cheyenne.zürcher@proton.ch,JB-6942-1577-BANK,+41766770229,"Leunberger, Bader and Albrecht",CH,cv,1984-05-13,ca:ed:e9:ac:c9:8d,$48.54,America/Argentina/Ushuaia
neil.bolliger@proton.ch,JB-3278-1345-BANK,+410770603338,Kaufmann Inc,CH,si,2013-07-22,09:b9:22:95:23:f1,"$25,059.45",Asia/Qyzylorda
katja.ferrari@msn.com,JB-4899-3278-BANK,+410765533834,Roth-Stocker,CH,the,2018-11-08,ae:a7:5f:32:cc:93,$99.91,Indian/Mauritius
istvan.stucki@gmx.de,JB-3512-2055-BANK,+41 786435536,"Gross, Brun and Stucki",CH,pl,1978-12-27,b0:13:5f:b8:73:95,"$70,915.85",Asia/Baku
nelly.felber@msn.com,JB-7135-3212-BANK,0781827407,Studer LLC,CH,unm,1981-03-07,0f:b4:d9:76:03:7f,$68.58,Africa/Ndjamena
arno.meyer@hotmail.com,JB-1555-6041-BANK,+41780335103,"Fehr, Stucki and Arnold",CH,bo,2015-07-24,f6:1c:09:55:ba:c6,"$30,871.15",America/El_Salvador
noa.senn@aol.com,JB-7297-5471-BANK,0772846725,"Iten, Kaiser and Meister",CH,ia,2018-01-29,4e:e4:37:ca:17:57,$54.80,Africa/Bamako
janik.sidler@aol.com,JB-1939-2205-BANK,+41(0)792327736,Kohler-Gloor,CH,ig,1996-01-29,ba:56:4f:e5:df:df,"$4,100.91",Pacific/Enderbury
manuela.stettler@hotmail.com,JB-6125-0541-BANK,+41 780703621,"Kuhn, Wolf and Kohler",CH,am,1980-12-14,f4:1e:f9:e4:80:07,$14.28,America/Montreal
elif.schärer@aol.com,JB-4718-2021-BANK,+41(0)781227219,"Fehr, Roth and Ritter",CH,it,2004-11-13,6f:9c:a5:6a:37:c5,$3.71,Europe/Andorra
erik.knecht@gmail.com,JB-7089-5961-BANK,+41(0)790827593,Winkler and Sons,CH,wo,1989-06-25,68:a5:04:d0:2f:1b,"$59,729.64",Asia/Tokyo
ruzica.meier@hotmail.com,JB-5281-1860-BANK,+41 0794831639,"Bauer, Stucki and Käser",CH,uk,2022-05-25,78:a8:e4:96:a4:fa,$49.18,Asia/Beirut
andres.bernasconi@msn.com,JB-1859-2139-BANK,0790313723,Schärer-Knecht,CH,pa,1998-09-07,85:9b:d5:d3:70:56,$8.81,Africa/Harare
eleonore.furrer@proton.ch,JB-1597-6302-BANK,0791405274,Müller-Steinmann,CH,mi,2021-04-17,6f:75:6c:1a:7f:3c,$5.53,Asia/Seoul
sebastiano.meister@proton.ch,JB-1102-4907-BANK,+41784614648,Weber PLC,CH,mk,2013-11-20,25:0c:ff:4a:f4:be,$77.03,Pacific/Funafuti
avni.roos@gmail.com,JB-0627-0711-BANK,+41 765496615,Hermann Inc,CH,wa,1977-11-07,eb:95:63:26:ad:33,$946.36,America/Guatemala
