address,zrnr,fullname,bank_country,date,city,mac_address,latitude,date_time,language_code,pricetag,file_name,company,random_number,country,time,timezone
"Bernasconistrasse 20
6273 Amriswil",JB-5619-3716-BANK,Wendy Albrecht,CH,2014-10-18,Sitten,ac:ed:bd:11:7c:61,84.8065515,1972-11-03 03:27:03,sc,$15.85,voluptates.key,Marti PLC,3140616,Uganda,17:53:17,Asia/Bishkek
"Ottstrasse 55
4759 Liestal",JB-3405-7867-BANK,Lidia Müller,CH,1971-11-29,Pratteln,14:70:66:f0:19:89,-70.820176,1987-02-08 03:02:01,nn,$24.64,aperiam.flac,Kaiser-Bader,128600407,Czech Republic,02:40:27,America/El_Salvador
"Staubstrasse 97
4511 Spreitenbach",JB-1502-4636-BANK,Norah Martin,CH,1977-02-28,Chêne-Bougeries,c5:34:32:33:ea:c5,14.4002975,2005-05-31 22:35:07,shs,$659.23,reiciendis.wav,Wenger-Käser,16589000,Kazakhstan,04:20:51,Indian/Comoro
"Blaserstrasse 505
6477 Buchs",JB-2154-4351-BANK,Mathilde Pfister,CH,2006-03-25,Bernex,c9:f2:f3:f7:f1:f5,20.156291,2016-06-04 19:18:48,si,"$20,948.53",laborum.mp4,Rey-Kern,987107,Uruguay,10:08:30,Asia/Muscat
"Wettsteinstrasse 18
8732 Montreux",JB-6530-3554-BANK,Niklas Schneider,CH,1993-10-15,Lausanne,86:5c:58:f3:5b:64,-55.351801,1978-09-09 09:06:02,li,$181.11,ratione.css,"Zehnder, Ammann and Hess",41717,South Korea,13:04:32,Europe/Bratislava
"Baumgartnerstrasse 950
4898 Zollikofen",JB-0498-4919-BANK,Malik Spörri,CH,2012-12-18,Val-de-Travers,eb:1a:88:7d:93:b9,-11.6680715,2004-01-16 06:15:47,hne,"$50,386.00",corrupti.mov,Berger LLC,81128,Vietnam,03:27:32,America/St_Vincent
"Mäderstrasse 14
2088 Volketswil",JB-6404-7869-BANK,Lucia Walder,CH,2008-12-13,Oberwil,18:b1:d9:3e:59:3c,54.5363565,1973-04-21 16:38:57,or,$0.75,nemo.wav,Schlatter-Koch,404433,Slovakia,13:49:41,America/Toronto
"Gigerstrasse 8
1295 Meilen",JB-0695-2013-BANK,Flamur Sutter,CH,2018-04-27,Kreuzlingen,59:cc:40:fd:b2:99,-21.0657475,2006-02-26 01:07:09,be,"$5,771.20",vitae.tiff,Bieri-Bernasconi,7,Germany,00:19:02,Asia/Phnom_Penh
"Peterstrasse 27
8568 Ebikon",JB-3689-6186-BANK,Elmar Weibel,CH,1970-07-26,Adliswil,2a:61:ed:b1:5d:07,-25.649937,1995-02-07 08:12:00,hi,$36.31,recusandae.pages,"Amrein, Schmidt and Berger",6,Madagascar,15:47:27,Pacific/Palau
"Kälinstrasse 112
3293 Arth",JB-6079-4727-BANK,Janosch Moser,CH,2005-11-06,Bassersdorf,ae:0b:80:7a:03:96,-47.2489675,2021-05-28 08:34:07,ht,$436.29,sapiente.ods,Vogel PLC,7226,Norway,10:28:55,America/Antigua
"Gasserstrasse 86
3026 Zollikofen",JB-1212-7217-BANK,Mathieu Erni,CH,1992-09-02,Aarau,75:23:23:de:a9:b3,44.7352395,2021-01-02 19:40:31,iu,"$75,957.58",pariatur.html,Steiger LLC,67681,Barbados,07:35:02,Asia/Bangkok
"Vogelstrasse 56
8111 Thalwil",JB-7660-1723-BANK,Mehmet Bachmann,CH,1974-07-07,Steffisburg,11:0b:73:fe:8c:36,-3.766218,2016-10-28 01:26:27,km,$3.51,consequuntur.tiff,Schmid-Gasser,919272586,Grenada,14:36:18,Europe/Madrid
"Mäderstrasse 497
1223 Buchs",JB-3611-4334-BANK,Danijela Kohler,CH,1997-04-24,Nyon,66:da:76:92:dc:d0,47.485524,1984-05-31 07:40:23,ru,$59.68,ad.pdf,Imhof-Wolf,6179,Libya,23:54:30,America/Araguaina
"Leustrasse 63
3859 Carouge",JB-6983-4824-BANK,Jacques Brun,CH,1971-06-15,Naters,e7:1e:82:2d:03:a8,27.3480925,1996-02-24 09:13:44,kok,$16.24,ipsum.webm,Hofmann-Kern,135,Madagascar,23:43:11,Europe/Copenhagen
"Thommenstrasse 59
2752 Küsnacht",JB-5242-0580-BANK,Jacques Haas,CH,2001-12-22,Vernier,f7:68:3e:8b:0d:df,-48.2348965,1972-06-11 17:09:07,brx,$290.41,amet.mp4,Ammann-Lutz,662356602,Mozambique,16:26:29,America/Grenada
"Kaiserstrasse 8
3171 Veyrier",JB-3781-7951-BANK,Volkan Mäder,CH,1991-09-17,Baden,d1:7b:e1:10:a0:3b,-36.414780,1978-01-31 01:24:51,az,$85.97,incidunt.webm,"Senn, Bieri and Jenni",8454,Honduras,01:08:33,Africa/Conakry
"Hauserstrasse 78
3865 Richterswil",JB-3429-0545-BANK,Bettina Ammann,CH,1977-11-18,Amriswil,75:b2:52:d2:54:71,-35.9915615,2006-11-05 22:15:14,bem,"$56,973.15",ipsum.doc,"Benz, Weibel and Hermann",36556171,Saint Kitts and Nevis,11:33:52,Asia/Calcutta
"Knechtstrasse 792
1987 Thônex",JB-5852-6477-BANK,Balz Gut,CH,1996-08-12,Lutry,51:6b:78:4e:3b:f9,-82.1620405,2015-07-18 11:23:01,mag,"$38,888.27",nemo.json,Wenger-Hafner,828613,Marshall Islands,12:00:29,Africa/Lagos
"Stockerstrasse 79
6686 Brugg",JB-6576-2317-BANK,Gottlieb Hauser,CH,1979-04-25,Illnau-Effretikon,bb:39:38:5b:fa:f2,77.9148355,2010-09-28 06:49:48,gv,$99.90,porro.bmp,Kägi-Betschart,4,Saudi Arabia,22:27:06,Europe/Budapest
"Hofmannstrasse 55
3682 Bern",JB-4009-5038-BANK,Alyssa Rüegg,CH,2006-10-05,Urdorf,a3:ae:d7:a0:f5:d9,63.9559165,2013-11-15 03:22:40,lg,$70.79,voluptatibus.pages,"Eugster, Stauffer and Näf",98398890,Latvia,23:16:08,Asia/Chongqing
"Kunzstrasse 7
4147 Zürich",JB-6510-5124-BANK,Esra Maier,CH,1972-08-22,Zofingen,e4:11:05:ce:71:f3,63.274520,2015-10-04 14:23:25,it,$58.74,vel.css,Käser-Brun,6649517,Republic of the Congo,07:00:34,Asia/Gaza
"Arnoldstrasse 48
1904 Altstätten",JB-2579-6263-BANK,Salvatore Fischer,CH,2000-01-17,Chur,e0:7e:dc:c8:cd:2f,-45.9198865,1988-07-14 20:55:19,zu,$4.42,vero.webm,Bieri and Sons,8087471,Dominican Republic,01:55:26,America/Costa_Rica
"Käserstrasse 83
3181 Payerne",JB-4684-6971-BANK,Imer Mettler,CH,2009-12-10,Opfikon,65:36:de:14:1d:cf,-83.577048,2017-08-19 00:13:26,shs,"$61,113.46",officia.flac,"Giger, Sutter and Brunner",9377577,Iraq,02:10:37,Indian/Antananarivo
"Bühlmannstrasse 6
4465 Urdorf",JB-1477-2983-BANK,Line Lüthi,CH,1987-02-11,Neuenburg,98:5b:1e:e2:25:20,-9.2531965,1983-11-08 23:06:28,aa,"$10,271.51",hic.csv,Kohler Inc,469000784,Ukraine,21:29:26,Indian/Mahe
"Schulerstrasse 76
8910 Chêne-Bougeries",JB-3967-5203-BANK,Jusuf Schweizer,CH,2012-06-17,Horw,00:27:df:8e:fa:23,32.989510,1972-09-28 04:20:43,mt,$21.96,deleniti.jpeg,Widmer PLC,694856,Benin,18:39:43,Europe/Zagreb
"Bianchistrasse 15
3202 Bernex",JB-1858-2853-BANK,Joséphine Scherrer,CH,1994-10-22,Sitten,26:26:74:2a:42:64,-49.261806,2004-01-06 01:52:05,iw,$936.60,exercitationem.json,Arnold and Sons,9728287,Colombia,03:22:05,Pacific/Fiji
