phone,fullname,iban,time,file_name,timezone,latitude,language_name,date,country,iso8601,date_time,city,pricetag
+410764494490,Harun Wüthrich,CH0878982318654965278,21:17:35,ea.pages,America/St_Vincent,47.5628155,Telugu,2008-07-30,Botswana,1971-10-11T11:04:10,1997-10-07 06:24:38,Martigny,$4.55
+41780210654,François Huber,CH4241569680340240034,16:31:10,ut.json,Africa/Kampala,-30.517680,Fijian,2021-03-12,South Africa,1998-10-01T01:52:35,2023-06-20 10:59:48,La Chaux-de-Fonds,$609.86
+41 0796802362,Christos Aebi,CH5824792977290267658,02:25:38,sint.css,Africa/Nairobi,-86.391182,Faroese,2004-03-07,United Kingdom,1989-01-16T18:04:11,1986-07-01 10:32:06,Basel,"$5,628.76"
+41 0785451546,Raphaël Zbinden,CH4312488187198985998,03:42:49,debitis.wav,Europe/Bucharest,39.2483335,Swahili,2008-03-14,Suriname,1995-04-24T22:25:47,2016-02-15 06:20:01,Romanshorn,$4.42
+410773802884,Visar Egger,CH6221699508771338380,21:37:13,iste.xlsx,Indian/Comoro,-19.5052235,Interlingua,1995-04-06,Papua New Guinea,1996-07-11T00:16:46,2003-04-27 23:16:03,Spreitenbach,"$3,936.83"
+41 0765716288,Diar Gerber,CH8176401343759434191,01:40:44,quo.pptx,Asia/Pyongyang,-69.798037,Galician,2014-08-23,Luxembourg,1977-10-12T05:14:24,2002-09-11 19:48:54,Wil,"$32,586.98"
0764686269,Radmila Wüthrich,CH0732751795539004921,20:35:25,veritatis.avi,America/Dominica,16.0980055,Vietnamese,1983-01-15,Federated States of Micronesia,1975-04-25T13:33:29,1975-04-15 11:24:22,Binningen,"$17,352.46"
+41 761217418,Said Walder,CH8396769021520779322,02:24:33,aliquam.ppt,America/Maceio,26.5950855,Norwegian Nynorsk,2010-10-18,Bosnia and Herzegovina,1984-08-20T14:21:54,2001-03-29 02:39:51,Gossau,$10.07
0784707491,Katalin Graf,CH5735205732405608664,17:02:49,pariatur.js,Asia/Damascus,-49.246671,Bislama,2003-03-04,Grenada,2013-05-03T19:22:48,2008-07-19 21:27:28,Einsiedeln,$90.87
0784230340,Jamie Walder,CH8584677464955392414,04:00:21,at.html,Europe/Warsaw,-70.288882,Inupiaq,1984-09-01,El Salvador,1989-11-05T18:09:53,1970-10-28 07:05:51,Delsberg,$818.80
+41 0760967625,Tina Grob,CH1547892826955035885,21:15:50,quos.mov,Asia/Kuala_Lumpur,-83.7825375,Romanian,1996-04-01,Cambodia,2015-04-21T14:37:17,2014-02-16 17:01:02,Aarau,"$2,717.78"
+41 0793812827,Arno Portmann,CH8542093261641808357,19:38:18,id.xls,Africa/Tripoli,-89.4487615,Aymara,2022-08-18,Liechtenstein,1992-11-10T21:58:54,1973-07-01 13:02:04,Adliswil,$8.87
+41(0)782622733,Alois Steiner,CH4509475739537553560,13:21:42,nesciunt.mov,Europe/Prague,59.5505355,Venda,1982-01-20,Cyprus,1992-09-23T02:00:11,2012-02-25 13:05:02,Thônex,$53.18
+41 785444402,Aldin Beck,CH2710297504100355645,20:50:27,modi.odp,Asia/Muscat,67.741516,Tibetan,2010-03-22,Estonia,1991-11-29T00:32:44,2011-10-09 09:44:25,Villars-sur-Glâne,"$3,288.84"
+41 793736997,Biljana Gloor,CH7012562417350354132,03:34:56,odio.tiff,America/Costa_Rica,-49.675617,Assamese,2022-01-27,Venezuela,2004-10-13T10:03:44,1984-10-07 01:41:51,Möhlin,"$37,906.55"
+41763261786,Agatha Bühlmann,CH1435678593960633438,09:59:31,aspernatur.css,Indian/Comoro,43.898166,Lao,2014-09-14,Vietnam,1970-02-21T05:39:17,1975-06-29 23:56:58,Luzern,"$6,532.76"
+410791143000,Joel Hartmann,CH9159834404639386065,00:19:45,aperiam.pptx,Europe/Bucharest,-19.871238,Dzongkha,1984-12-19,Tunisia,1997-02-09T00:51:19,1976-02-17 06:26:38,Frauenfeld,$7.80
0773615828,Margaux Herzog,CH8082975611754689784,23:06:40,dolorem.mov,Africa/Kinshasa,-23.9598245,Slovenian,1991-08-25,Egypt,2020-07-26T05:52:04,1998-08-04 05:30:07,Montreux,"$62,921.21"
+41 0780461421,Neil Küng,CH1834310815240461167,22:19:36,ratione.flac,Africa/Conakry,79.2682475,Kurdish,1975-02-03,Niger,1981-11-02T17:49:00,1982-04-22 00:01:16,Männedorf,"$2,396.37"
+41 772796618,Erica Zingg,CH4384031746180755646,13:37:48,distinctio.avi,America/Swift_Current,-76.4669565,Bengali,2014-03-14,Mexico,2013-01-19T20:42:24,1996-04-03 21:08:16,Olten,"$11,398.94"
+41 776155744,Jolanda Kern,CH4146140059832805420,07:00:09,ratione.txt,Africa/Tripoli,39.217307,Wolof,2017-05-15,Finland,1972-06-02T17:41:09,2023-03-13 15:47:56,Carouge,$89.68
+410796660833,Shpresa Lüscher,CH0415657001735703093,05:15:50,dolorum.wav,Africa/Khartoum,-70.298675,Korean,2023-02-13,Armenia,2018-12-19T02:49:19,2013-12-30 15:26:54,Wallisellen,$6.29
+41793345188,Ines Betschart,CH5498108379135412066,18:39:56,voluptatibus.jpeg,Europe/Prague,-24.181510,Uzbek,1975-08-08,Tuvalu,1973-05-27T06:11:59,2019-03-30 05:48:06,Veyrier,$392.12
0761086679,Nevio Schnyder,CH5319827210528104194,02:16:03,dignissimos.doc,America/La_Paz,-55.623548,Corsican,1987-05-01,United States,2014-01-21T00:11:08,2016-07-30 03:54:30,Sarnen,$58.41
+410795151764,Chris Giger,CH6286148862671010774,09:12:16,necessitatibus.jpg,America/Goose_Bay,44.3492905,Chinese,2014-04-29,East Timor,1996-09-12T12:50:33,1977-07-28 04:41:12,Meilen,"$75,729.14"
+41790142505,Alessio Schaller,CH5022198773698010854,13:06:29,aliquam.jpeg,Africa/Casablanca,-40.125784,Polish,1975-03-13,Saudi Arabia,1986-06-21T14:32:31,2019-08-19 16:39:29,Stäfa,"$9,254.61"
+41 772657608,Gino Peter,CH8558627426861200288,01:06:03,ea.mov,Africa/Dakar,-31.3811345,Inupiaq,2012-11-28,Belgium,1975-01-31T21:18:27,1989-07-16 03:50:56,Montreux,"$77,064.24"
0786796864,Maja Stucki,CH3870480704136600732,20:11:43,necessitatibus.avi,America/Nassau,19.931290,Georgian,2004-10-23,Vanuatu,2003-07-12T21:39:09,2011-06-19 20:25:39,Mendrisio,"$60,982.99"
+41773931008,Asia Kägi,CH1135741110729191863,22:01:22,laborum.flac,America/Guatemala,0.351912,Twi,1979-05-31,El Salvador,1985-10-07T00:34:16,1989-03-20 13:10:41,Glarus,$481.15
+41 0780740237,Rudolf Bieri,CH5762338941849140840,14:58:03,explicabo.csv,Asia/Qatar,60.141606,Catalan,1971-03-17,Mali,2009-08-28T20:57:31,1987-08-20 22:40:30,La Tour-de-Peilz,"$56,820.60"
0761355102,Flora Schneider,CH5552185545011500801,21:03:07,odio.ods,Asia/Kuwait,87.274379,Kashmiri,2013-11-15,Sudan,2013-02-03T02:29:12,2002-09-12 19:58:03,Brig-Glis,$17.59
+41(0)774962747,Lana Kunz,CH9422278016292654541,09:12:56,vero.odp,Africa/Johannesburg,-73.631364,Inuktitut,2001-04-26,Kuwait,1974-10-18T01:37:24,1995-08-22 00:46:37,Rheinfelden,$294.10
+41 796212907,Amelia Kuhn,CH7842325414144929163,23:22:40,aspernatur.wav,Pacific/Funafuti,-71.5456155,South Ndebele,2007-06-02,Hungary,1979-04-07T08:13:06,2000-03-01 13:30:46,Ittigen,$83.22
+410766680764,Rosetta Senn,CH8879621629396623700,11:58:30,voluptates.gif,America/Argentina/Catamarca,-38.1746195,Limburgan,1971-04-22,Cameroon,2017-03-17T00:55:33,2022-11-28 03:11:38,Freiburg,"$9,105.19"
+410786605161,Milos Peter,CH9560932720109977769,14:11:58,facilis.pptx,America/Recife,-45.977398,Xhosa,2015-11-25,Laos,2000-03-02T19:29:58,2022-09-13 14:45:32,Zürich,$566.91
+41791422518,Leyla Schoch,CH8313551689635067024,18:04:35,consectetur.webm,America/Costa_Rica,18.8801945,Latvian,1987-07-04,Brazil,2003-12-10T21:26:06,2016-05-16 17:29:10,Ostermundigen,$79.87
+41 0783782087,Daniele Friedli,CH3037539498227370964,04:06:29,laudantium.csv,America/Costa_Rica,55.8628875,Luxembourgish,2000-02-28,Saint Kitts and Nevis,1976-09-17T22:55:38,1977-06-23 19:13:12,Meilen,"$5,315.38"
+41(0)771945348,Lidia Ott,CH8559719818194068404,23:21:47,recusandae.gif,Europe/Sofia,-89.8691455,Northern Sami,2013-02-21,Panama,1970-12-02T07:11:17,1989-11-29 18:16:55,Bernex,"$3,728.18"
+41794417534,Sara Meili,CH2593466061350668707,02:07:53,nesciunt.flac,Europe/Tallinn,85.3634135,Northern Sami,2018-08-23,Panama,1997-06-16T20:12:45,2004-11-15 23:56:51,Rüti,$86.04
+41773755933,Imer Schuler,CH8622133026003813443,16:14:24,molestiae.jpg,America/St_Vincent,-81.8998335,Luxembourgish,1976-12-12,Saudi Arabia,2006-11-09T00:24:53,1996-03-08 22:12:21,Steinhausen,$673.78
0772285846,Luís Marti,CH9250587317650592165,16:51:03,exercitationem.csv,Africa/Ndjamena,-44.9180645,Sindhi,2007-01-22,Malaysia,2010-12-21T06:07:45,1984-07-16 19:51:19,Münchenstein,$843.65
0790320846,Gil Probst,CH4655507201846475043,10:01:07,nesciunt.tiff,Pacific/Galapagos,86.8844495,Pali,1977-03-29,Greece,1994-09-19T04:16:50,2010-12-17 02:55:52,Bulle,"$75,073.12"
0780961381,Eliana Siegrist,CH6141255642421718545,12:42:28,consequatur.png,America/El_Salvador,-29.4702735,Malayalam,2009-05-18,Honduras,1977-05-20T19:23:28,1980-01-22 15:00:32,Thônex,"$7,035.59"
