address,iban,zrnr,timezone,random_number,country,pricetag,file_name,language_code,language_name,mac_address,company,time,bank_country,hostname
"Etzlerstr. 573
13754 Sigmaringen",DE41780870095477574016,JB-2780-6056-BANK,Africa/Accra,2,Pitcairn,"4,11 €",so.jpg,et,Tamil,eb:2b:40:8b:b0:f5,Bohnbach OHG mbH,01:13:48,DE,db-05.holsten.com
"Heinz Dieter-Ullmann-Gasse 278
05509 Vohenstrauß",DE97343345522043677912,JB-5314-7187-BANK,Europe/Kiev,801239,Indonesien,"78,35 €",werfen.mp3,iw,Kashmiri,79:ef:b9:c4:bc:9e,Harloff Schüler GmbH,03:10:46,DE,desktop-18.wesack.com
"Mesut-Lindau-Straße 783
16795 Badalzungen",DE49460159406335958813,JB-5360-5181-BANK,Europe/Vilnius,92141,Falklandinseln,"60.276,80 €",wünschen.csv,mi,Marathi,d3:33:ca:e6:27:7d,Lehmann,13:47:56,DE,email-16.stadelmann.de
"Henkgasse 6/8
77840 Kitzingen",DE74944807671171055313,JB-7072-7873-BANK,Europe/Brussels,4351906,Bosnien und Herzegowina,"5,33 €",sie.gif,niu,Finnish,55:48:75:52:a8:9f,Dobes Löchel AG,19:30:14,DE,lt-02.losekann.org
"Ditschlerinstraße 84
41969 Hoyerswerda",DE94241970564470150148,JB-0920-4166-BANK,Europe/Rome,31860,Turks- und Caicosinseln,"39,34 €",ist.webm,ru,Sinhala,fd:96:9a:ac:cd:c1,Mohaupt Stiftung & Co. KG,07:22:01,DE,web-10.doerschner.org
"Matthäiring 2/2
96490 Mallersdorf",DE69026556378193065087,JB-7138-7425-BANK,Europe/Paris,48,Antarktis,"49,30 €",müde.numbers,es,Kikuyu,6a:a7:43:75:a3:85,Pruschke,18:18:02,DE,email-44.gehringer.org
"Udo-Warmer-Straße 486
80062 Mettmann",DE63335099293832794746,JB-4599-4191-BANK,Australia/Brisbane,58,Nigeria,"67.994,35 €",lieb.wav,pl,Avaric,32:3b:ce:31:bf:9c,Patberg GmbH & Co. OHG,12:21:07,DE,desktop-47.waehner.com
"Friedhold-Mans-Weg 538
62205 Greiz",DE48430139731304199606,JB-6169-7200-BANK,Africa/Maseru,525079300,Demokratische Republik Kongo,"6.299,64 €",braun.mp3,am,Herero,72:42:f0:d6:49:3e,Schmiedecke Klemm OHG mbH,23:15:06,DE,laptop-55.hofmann.de
"Wulfweg 429
67147 Grafenau",DE84700269079606747804,JB-1285-0638-BANK,Asia/Jayapura,76,Luxemburg,"670,22 €",Essen.html,wa,Lao,ae:14:1f:55:1b:41,Lange,00:06:04,DE,lt-35.sager.de
"Hoffmannweg 2/5
37403 Badoberan",DE68719248840056894791,JB-1786-5922-BANK,Africa/Ouagadougou,45441,Niger,"680,11 €",trinken.tiff,ik,Amharic,41:85:97:af:19:7f,Seip Hermighausen GmbH,21:02:12,DE,lt-31.ernst.org
"Tilman-Krebs-Weg 8
41130 Jülich",DE51514695686302359385,JB-5548-5478-BANK,Pacific/Majuro,3460,Côte d’Ivoire,"70.474,57 €",erschrecken.mp3,mn,Vietnamese,da:48:cb:9a:87:55,Losekann,17:04:16,DE,srv-43.junk.com
"Marita-Wiek-Weg 7/5
56669 Euskirchen",DE64743722759819735157,JB-2305-7132-BANK,Africa/Ouagadougou,86178,Färöer,"34.517,63 €",früh.avi,mr,Assamese,e6:d7:6b:39:6e:d9,Dippel Hörle GbR,13:58:14,DE,lt-58.caspar.com
"Gotthardweg 0/2
93277 Heinsberg",DE84717125112675550755,JB-3993-7792-BANK,Asia/Aden,909583371,Russische Föderation,"409,02 €",heute.xlsx,pl,Sardinian,04:82:c8:9b:46:0a,Drewes,12:27:10,DE,laptop-11.hornig.de
"Hasso-Meyer-Weg 3
91001 Neubrandenburg",DE85053156794811981044,JB-4905-3223-BANK,Pacific/Guadalcanal,87374658,Nördliche Marianen,"54,92 €",Affe.pptx,az,Malagasy,0d:f8:ee:0c:69:7d,Huhn Stiftung & Co. KG,19:28:25,DE,lt-81.adler.org
"Trappgasse 1
30458 Calau",DE28915311728815228790,JB-5462-7140-BANK,Asia/Riyadh,8,Slowenien,"8,05 €",klettern.webm,iu,Chinese,a1:2f:96:9b:5f:b7,Köster,19:34:45,DE,email-92.ruppersberger.com
"Bohlanderring 34
97760 Teterow",DE11356009063703289747,JB-7224-7533-BANK,America/St_Lucia,8559,Kenia,"7,60 €",früh.mp3,tk,Marathi,1f:4a:28:be:5b:3e,Klapp Putz GmbH & Co. KG,08:16:48,DE,desktop-49.binner.com
"Ulla-Haering-Platz 8/2
40901 Bad Langensalza",DE48419603639652563580,JB-0927-4592-BANK,Africa/Lagos,75809,St. Vincent und die Grenadinen,"4,19 €",Leben.ppt,the,Western Frisian,eb:a2:fc:a5:1e:3a,Hörle GmbH & Co. KG,02:11:34,DE,email-39.hahn.org
"Helfried-Boucsein-Allee 405
64669 Altentreptow",DE18249412539260663301,JB-1706-5439-BANK,Europe/Zurich,71,Turkmenistan,"85.978,28 €",hier.mp3,lzh,Faroese,f5:19:56:cd:bb:4a,Bolnbach AG,08:52:49,DE,srv-94.suessebier.com
"Stefani-Eberhardt-Weg 5/7
72833 Erbisdorf",DE77246112040925976018,JB-0118-3061-BANK,Africa/Dar_es_Salaam,0,Malediven,"61.797,08 €",Geld.html,ka,Tatar,bd:ec:e9:bc:41:cb,Täsche Weinhold OHG mbH,11:30:28,DE,email-13.preiss.de
"Felizitas-Seip-Straße 7
45958 Soltau",DE50528672596943206675,JB-4155-3581-BANK,America/El_Salvador,111460,Portugal,"93.461,55 €",Spaß.flac,an,Kazakh,91:bc:18:76:7e:84,Löchel Linke GmbH & Co. OHG,04:06:16,DE,web-30.kallert.com
"Alicja-Franke-Allee 0
93115 Borken",DE81971313297873042073,JB-2493-4746-BANK,Europe/San_Marino,9823653,Réunion,"44,33 €",Zahl.mp3,gl,Tamil,8e:d3:9d:05:0d:76,Schleich Jacob GmbH,06:49:05,DE,desktop-33.jacobi.de
"Birgitt-Köhler-Ring 581
65702 Ansbach",DE09792789752313950423,JB-0154-2832-BANK,Africa/Ndjamena,1158,Bhutan,"46.716,72 €",man.mp3,pt,Tatar,1c:10:b9:65:f8:3b,Heuser,04:52:10,DE,db-87.vollbrecht.com
"Marzena-Liebelt-Gasse 0
56114 Illertissen",DE64836545457700937021,JB-4941-7870-BANK,Africa/Maseru,759,Rumänien,"7.686,61 €",unten.mp3,tn,Sinhala,05:de:65:8d:be:62,Eigenwillig,18:23:03,DE,desktop-90.kambs.com
"Walther-Säuberlich-Straße 85
75819 Döbeln",DE81600367173181278303,JB-3155-2631-BANK,Africa/Accra,93387065,Gibraltar,"1,91 €",vom.mov,iu,Tswana,52:b5:47:53:5d:86,Ritter,20:07:53,DE,desktop-54.kaester.org
"Ulf-Linke-Gasse 1
00799 Badibling",DE34471280549431517411,JB-4786-2855-BANK,America/Cuiaba,44514,Vatikanstadt,"8.994,58 €",Baum.doc,tg,Chuvash,2d:8b:82:aa:02:ca,Meyer AG & Co. KGaA,07:02:17,DE,desktop-55.faust.com
"Pärtzeltstr. 18
53295 Freital",DE57670505779465442658,JB-2683-0629-BANK,Asia/Manila,7661,Usbekistan,"35,16 €",schlimm.mp3,dz,Burmese,b6:d7:33:3c:2b:0f,Mangold,22:34:29,DE,laptop-59.giess.de
"Andrzej-Rudolph-Straße 684
74490 Main-Höchst",DE64865627578012672829,JB-3100-6189-BANK,Europe/Stockholm,647,Norfolkinsel,"56.953,90 €",sagen.mp4,gez,Kazakh,89:c7:c4:f4:d5:28,Junken GmbH & Co. KG,19:08:03,DE,srv-56.loeffler.com
"Weihmannplatz 237
72157 Zerbst",DE61136684421371763182,JB-4266-1030-BANK,Europe/San_Marino,4020,Uganda,"5,67 €",werden.tiff,lt,Faroese,9d:75:0f:6e:f3:45,Schaaf,12:24:54,DE,web-98.baerer.com
"Neureutherring 819
70776 Pößneck",DE78626177611583147645,JB-2287-4810-BANK,Asia/Ashgabat,967007,Rumänien,"6,02 €",sein.csv,bs,Marathi,ae:db:8a:c0:37:cd,Lindau,05:24:25,DE,srv-85.zorbach.de
"Krebsplatz 6
85622 Burgdorf",DE45097148427865270688,JB-1575-3353-BANK,Europe/Dublin,5,Türkei,"8,47 €",mögen.numbers,fa,Turkish,c3:7b:87:4b:48:cc,Täsche,04:32:45,DE,lt-87.taesche.de
"Christophring 99
45279 Sebnitz",DE59131697677638742806,JB-7166-2980-BANK,Africa/Dakar,0,St. Pierre und Miquelon,"7.869,84 €",Tante.flac,wal,Malagasy,b4:f5:c9:1c:c0:a9,Birnbaum GmbH,08:46:29,DE,laptop-67.jaekel.org
"Ebertgasse 47
15282 Neuss",DE02395494843028666210,JB-2603-3161-BANK,Africa/Cairo,455991,Spanien,"889,02 €",Dorf.js,as,Latin,5a:57:81:ec:74:e1,Martin,09:43:29,DE,lt-75.muelichen.com
"Sabine-Segebahn-Ring 6
39230 Weimar",DE02575617339629416965,JB-1551-1369-BANK,Europe/Berlin,85999370,Mosambik,"526,39 €",werfen.js,eu,Hungarian,80:8e:a5:51:17:1c,auch Schlauchin Ruppert OHG mbH,16:46:28,DE,db-07.dippel.de
"Yasmin-Geißler-Ring 442
05181 Hechingen",DE53739821798043383357,JB-2651-3691-BANK,Africa/Malabo,991431,Madagaskar,"44,89 €",wichtig.webm,oc,Nauru,1e:f6:fe:12:e7:71,Martin,10:51:46,DE,db-88.hethur.com
"Fritschplatz 66
34397 Bogen",DE38275168667052580951,JB-1263-6089-BANK,Africa/Asmera,269565,Slowenien,"1.533,69 €",ihn.ods,iw,Armenian,9a:7b:ba:6b:3b:70,Wieloch,12:08:29,DE,lt-44.gude.com
"Gnatzgasse 21
04124 Forchheim",DE46288264151290011815,JB-3654-3984-BANK,America/Hermosillo,991893600,Uruguay,"8,38 €",kommen.flac,rw,Georgian,6f:a8:fc:5c:51:e1,Schomber Birnbaum AG,22:31:46,DE,lt-97.dowerg.net
"Ortwin-Stroh-Weg 679
36434 Kaiserslautern",DE80205665671780550440,JB-2052-1063-BANK,Asia/Tehran,5074019,Haiti,"638,53 €",steigen.js,ti,Twi,2f:26:37:9c:5a:74,Drub,10:19:41,DE,web-58.albers.org
"Schachtstr. 3/9
80393 Wesel",DE62282270065741838772,JB-0717-5164-BANK,Europe/Riga,22020,Salomonen,"72,67 €",Glas.json,am,Zhuang,b2:22:b1:4f:2f:09,Finke Albers GmbH & Co. KG,18:11:24,DE,db-95.stiebitz.com
"Seifertstraße 7/0
30600 Bernburg",DE56617467916653910393,JB-7035-1310-BANK,Europe/Copenhagen,446071,Antarktis,"46.808,48 €",einfach.json,hr,Divehi,a9:93:e2:27:ec:84,Kroker KG,10:20:39,DE,email-41.thies.com
"Holtweg 2/9
33475 Hünfeld",DE25800473837170206842,JB-4691-4166-BANK,America/Guatemala,71192,Nicaragua,"8.679,95 €",mehr.jpg,bg,Malay,31:a9:d8:8d:ca:69,Weinhold OHG mbH,22:40:19,DE,web-75.ehlert.de
"Augusta-Barth-Gasse 7
85721 Bad Mergentheim",DE27148080621071015650,JB-6849-4265-BANK,Europe/Stockholm,76681108,Irak,"803,30 €",mal.mov,hsb,Northern Sami,a1:90:e4:d8:38:da,Austermühle Reinhardt AG & Co. KG,18:56:48,DE,srv-23.dippel.de
"Dolores-Stey-Ring 57
15839 Kitzingen",DE47115322938519310146,JB-5983-5556-BANK,Asia/Dili,6065,Ecuador,"8,54 €",reich.mp4,pl,Indonesian,cd:9f:60:1d:a5:29,Beyer Rose e.V.,02:55:15,DE,db-48.klapp.de
"Heinz-Günther-Schinke-Weg 3
88128 Brand",DE79355558764761320399,JB-4369-7481-BANK,Africa/Dar_es_Salaam,435792,Tonga,"19.676,20 €",Schule.ppt,gu,Esperanto,97:ff:43:a4:89:79,Barkholz,19:28:44,DE,email-43.schuchhardt.org
"Etzoldstr. 0/7
03897 Geldern",DE47015508853101450666,JB-6474-5633-BANK,Europe/Brussels,6313890,Monaco,"794,11 €",Hund.json,hi,Kashmiri,63:c8:68:7c:8b:b5,Gute AG & Co. OHG,09:22:50,DE,srv-89.mueller.com
"Steystraße 4
32111 Mainburg",DE39829391622738779576,JB-5249-6612-BANK,America/Havana,4934,Kamerun,"7,10 €",wir.gif,ga,Walloon,50:7c:94:cb:67:28,Otto AG & Co. KG,13:05:10,DE,db-20.wagner.com
"Rohtstr. 70
46443 Holzminden",DE53264063410048032672,JB-1514-7567-BANK,Europe/Copenhagen,96,Montserrat,"334,09 €",müssen.flac,mk,Zhuang,39:ff:e9:98:43:0a,Klotz,23:23:32,DE,email-47.mitschke.com
"Paffrathplatz 4/5
77759 Mühldorf am Inn",DE98254352223373293932,JB-1322-6788-BANK,Africa/Brazzaville,17403841,Weihnachtsinsel,"6,79 €",werden.numbers,zu,Haitian,d0:b9:d9:18:7f:7a,Drubin Werner AG & Co. OHG,16:49:27,DE,srv-83.loechel.de
"Wolfram-Heydrich-Weg 2/9
47883 Guben",DE62984418108054146114,JB-7491-6991-BANK,Europe/Minsk,31763149,Bhutan,"3.192,72 €",schenken.css,ckb,Tagalog,72:41:ba:2b:0c:5f,Täsche e.G.,00:14:53,DE,email-67.wirth.com
"Ernstweg 48
54527 Coburg",DE95215926760242085286,JB-1115-1120-BANK,Asia/Beirut,90231605,Österreich,"48,48 €",Schwester.pages,dv,Avestan,9a:04:61:92:fb:e7,Ehlert,14:52:18,DE,srv-94.saeuberlich.de
"Jacobi Jäckelgasse 0
81097 Geithain",DE93436830569271979355,JB-3899-7548-BANK,Asia/Tbilisi,18933,Katar,"221,01 €",richtig.txt,fi,Kashmiri,03:1d:ce:34:98:a2,Pruschke AG,13:30:36,DE,desktop-25.wieloch.net
"Karl-Peter-Knappe-Weg 335
74841 Rothenburg ob der Tauber",DE85277475621254943634,JB-6957-2379-BANK,America/Detroit,34,Südafrika,"165,35 €",drei.wav,ku,Albanian,6f:d7:9d:df:5a:11,Müller,11:44:57,DE,email-65.jungfer.de
"Radischstraße 9/8
38260 Bamberg",DE27491373507103608601,JB-6336-0594-BANK,Asia/Shanghai,802,Nepal,"89,23 €",schenken.gif,ka,Maltese,a3:4c:dc:db:87:09,Wilmsen,13:46:25,DE,lt-25.hendriks.de
"Hans Dieter-Zimmer-Ring 54
65188 Spremberg",DE23765261958045624841,JB-1784-0967-BANK,Asia/Krasnoyarsk,69512,Norfolkinsel,"82,63 €",Tag.mp3,wa,Gujarati,80:e1:5d:30:54:52,Aumann Kade OHG mbH,11:11:15,DE,desktop-77.heydrich.de
"Ludmila-Stroh-Allee 7
12954 Illertissen",DE54178862970375191805,JB-2564-4376-BANK,Asia/Dubai,2,Neuseeland,"5,10 €",dabei.pptx,tk,Swedish,cb:af:4a:cf:06:59,Conradi KGaA,00:26:00,DE,email-69.kuehnert.net
"Anica-Thies-Ring 97
36682 Hettstedt",DE95172565036566766771,JB-3690-0448-BANK,Africa/Ceuta,3,Isle of Man,"3.471,79 €",scheinen.flac,wo,Fijian,1c:52:d2:ed:97:9c,Hendriks GmbH,02:41:22,DE,web-93.conradi.de
"Sergio-Dörschner-Gasse 7
07828 Rochlitz",DE03622092251473931249,JB-0380-2887-BANK,Europe/Oslo,6470095,Ungarn,"1.582,67 €",Fußball.gif,raj,Arabic,51:4e:da:31:5a:c6,Aumann Winkler AG,06:59:29,DE,web-40.schlosser.net
"Schmidtkeplatz 14
64231 Delitzsch",DE64457251850388516474,JB-5384-7714-BANK,Europe/Oslo,43000068,Madagaskar,"1.209,87 €",warm.pdf,iu,Abkhazian,13:f1:63:6a:de:5e,Mitschke GbR,02:48:57,DE,email-14.gutknecht.com
"Jonathan-Kitzmann-Ring 5
87182 Waldmünchen",DE46793004945930067715,JB-1076-5904-BANK,America/Belize,97796,Niue,"871,16 €",fertig.mp3,ln,Croatian,01:c4:5a:22:c3:1a,Losekann Wesack KG,09:30:13,DE,lt-93.kruschwitz.de
