iban,fullname,email,company,pricetag,longitude,date,language_name,timezone,country,iso8601,language_code,bank_country,file_name,latitude
DE24504051600697930114,Alexandros Scheibe,alexandros.scheibe@gmail.com,Gude,"49,40 €",156.122139,1972-10-05,Kashmiri,Asia/Dushanbe,Paraguay,2012-12-10T04:27:25,az,DE,Platz.mov,-32.103050
DE89933770317552279036,Nikolas Girschner,nikolas.girschner@aol.com,Köster OHG mbH,"81,71 €",179.312758,1974-09-11,Tatar,Europe/Bucharest,Äußeres Ozeanien,1993-07-04T14:09:51,uz,DE,dafür.jpeg,68.0569285
DE47498881325451408016,Andrey Mülichen,andrey.mülichen@hotmail.com,Bauer,"957,63 €",-158.087050,1988-03-12,Interlingue,Asia/Singapore,Syrien,1987-10-17T03:15:51,or,DE,Wald.bmp,-44.620452
DE85284189972911581365,Karlfried Haering,karlfried.haering@msn.com,Linke GmbH,"7,65 €",7.973738,1978-06-21,English,Europe/Oslo,Wallis und Futuna,2015-10-12T21:48:02,nb,DE,unten.jpeg,-56.566862
DE64258271095461027044,Anneliese Rosemann,anneliese.rosemann@msn.com,Kostolzin,"69.075,80 €",44.787413,1988-08-14,Tatar,Asia/Ashgabat,Irak,1989-05-24T00:19:49,ms,DE,Brief.flac,10.7465365
DE66852957616892887615,Martine Neuschäfer,martine.neuschäfer@aol.com,Dobes Kallert GmbH,"44.676,10 €",170.472387,2001-04-29,Chinese,America/La_Paz,Puerto Rico,1974-11-07T08:36:15,lo,DE,rund.webm,-68.8674605
DE84682583638736725045,Juan Heser,juan.heser@msn.com,Preiß,"72,60 €",30.219330,1989-11-08,Tsonga,Australia/Lindeman,Weihnachtsinsel,1990-11-09T05:01:45,es,DE,viel.flac,-88.8152615
DE21124790612254512143,Birte Noack,birte.noack@msn.com,Ullrich,"444,11 €",-58.425343,1981-07-03,Samoan,Europe/Zurich,Iran,1981-06-16T08:40:07,sid,DE,gewinnen.gif,-66.1562625
DE08036048388655728803,Hubert Berger,hubert.berger@proton.ch,Striebitz GmbH,"93.581,29 €",72.238579,1971-02-21,Ewe,Europe/Vienna,Afghanistan,2013-11-06T03:31:53,tcy,DE,Buch.html,10.1830575
DE49587970922877110772,Jenny Meister,jenny.meister@aol.com,Hartmann,"178,03 €",21.221435,1973-12-25,Norwegian Nynorsk,Asia/Thimphu,Tunesien,2022-10-21T17:55:54,si,DE,bei.pages,-88.129852
DE95730583011348070049,Andrzej Drubin,andrzej.drubin@aol.com,Ritter GmbH,"2,26 €",-48.674629,2000-05-04,Swahili,Europe/Budapest,Äquatorialguinea,1984-05-23T16:55:26,shs,DE,da.flac,-61.193690
DE25410776452562401189,Gesche Linke,gesche.linke@hotmail.com,Ackermann,"1.537,60 €",99.771807,1971-05-24,Yoruba,America/Asuncion,Sudan,1970-05-30T09:02:39,dv,DE,richtig.webm,64.0267845
DE51580743677941935461,Ralf Beier,ralf.beier@hotmail.com,Holzapfel,"4,84 €",71.194150,2000-07-07,Kazakh,Pacific/Nauru,Estland,1999-06-03T16:21:44,lij,DE,Tante.tiff,1.538708
DE23241584296631186452,Luise Lübs,luise.lübs@gmail.com,Matthäi,"15,33 €",142.573606,2009-02-01,Inupiaq,America/La_Paz,Usbekistan,1987-08-24T00:46:27,hsb,DE,ein.mov,-3.9177165
