phone,zrnr,fullname,file_name,iso8601,bank_country
+41 0781230522,JB-4804-2807-BANK,Udo Steinmann,itaque.mov,2011-05-25T23:44:12,CH
0780406127,JB-6550-6137-BANK,Maeva Kuhn,reiciendis.js,1993-11-11T12:16:17,CH
+41 0770586393,JB-4891-5147-BANK,Sophia Bianchi,magnam.mp3,1981-07-03T09:43:34,CH
0761796950,JB-3852-7214-BANK,Morgane Knecht,quam.png,2020-03-28T12:15:52,CH
0773994784,JB-2190-3481-BANK,Ulrike Baur,veniam.flac,2019-01-21T00:05:18,CH
+410786710842,JB-2122-2885-BANK,Arno Käser,natus.gif,1975-01-13T19:33:40,CH
0784783982,JB-5986-7119-BANK,Andrea Baur,maxime.wav,2021-01-23T08:05:33,CH
+410763603775,JB-0484-7239-BANK,Martha Martin,vero.mp3,2022-07-25T20:52:16,CH
+410767330475,JB-5569-4786-BANK,Helmut Frick,vel.html,1974-09-29T03:05:40,CH
+410760901241,JB-4626-7333-BANK,Eloïse Kägi,velit.js,2004-02-02T03:42:37,CH
+410790240245,JB-4545-3895-BANK,Marcus Aebi,veniam.jpg,2001-04-29T13:29:15,CH
+410763864562,JB-4466-5427-BANK,Zuzana Peter,alias.png,1988-11-13T11:51:48,CH
+410780600472,JB-6027-0595-BANK,Alexandra Lang,culpa.pptx,1980-07-31T16:01:04,CH
+41761514219,JB-3866-7600-BANK,Frederik Brun,non.wav,1999-12-29T21:44:15,CH
+41 0787781542,JB-7026-7466-BANK,Jeanette Bolliger,facilis.txt,1972-07-25T10:12:22,CH
+41766396308,JB-7337-0515-BANK,Frédéric Meili,a.gif,1980-01-31T13:49:51,CH
+41 774630403,JB-3785-6391-BANK,Gerhard Schumacher,laborum.mp3,1990-05-02T06:19:05,CH
+410770683330,JB-6944-1900-BANK,Richard Mettler,repudiandae.bmp,1986-06-25T14:20:17,CH
+41(0)797284660,JB-4847-3457-BANK,Umut Thommen,id.mov,2016-03-06T18:22:51,CH
+410761475505,JB-1526-7444-BANK,Carol Staub,consequuntur.jpg,1998-10-26T04:15:59,CH
+41(0)762377408,JB-6599-3080-BANK,Iwan Stauffer,facilis.flac,2004-10-03T03:41:37,CH
+41 781250173,JB-7448-7062-BANK,Bettina Aebi,eos.json,1998-08-12T11:57:03,CH
+41790310384,JB-5637-6983-BANK,Michaela Kessler,animi.csv,2001-01-28T20:04:22,CH
0791926617,JB-1905-5842-BANK,Rosaria Schlatter,doloremque.doc,2015-08-29T04:21:23,CH
+41(0)760075393,JB-4582-4084-BANK,Mahmut Gloor,fugiat.css,2002-11-19T13:04:54,CH
+41794672561,JB-3740-2869-BANK,Lana Bühler,dolorem.docx,1971-12-31T10:33:16,CH
+41784220761,JB-2625-1248-BANK,Emina Bättig,ut.mov,2015-11-19T20:19:17,CH
+410785276567,JB-5429-6892-BANK,Mélanie Ziegler,quam.flac,2013-07-19T00:59:39,CH
+410784343817,JB-7453-3748-BANK,Nada Steiner,minus.webm,1987-12-26T04:46:57,CH
+41 774264758,JB-3588-1194-BANK,Ariana Giger,fugiat.csv,2008-10-06T04:47:02,CH
+41 0764625821,JB-3498-4669-BANK,Graziella Fischer,neque.pptx,1985-08-23T09:57:03,CH
+41773541420,JB-4045-6346-BANK,Thiago Ackermann,libero.flac,2012-03-09T19:43:47,CH
+41 0780423799,JB-2424-6138-BANK,Nils Meyer,ratione.mp4,2019-03-17T14:06:52,CH
+41 773002708,JB-7944-4613-BANK,Holger Bühler,esse.key,1971-04-16T19:52:59,CH
+41(0)783040964,JB-0107-0132-BANK,Frédérique Leu,tempore.png,1986-12-19T23:02:01,CH
+41771432588,JB-4285-3494-BANK,Stefania Giger,eligendi.jpeg,2012-10-25T10:34:47,CH
0776283452,JB-1038-2113-BANK,Therese Moser,similique.xlsx,1999-08-01T13:09:29,CH
+41 0796514043,JB-7497-5487-BANK,Rosalba Roth,occaecati.mp3,2003-01-01T19:25:37,CH
+410775150659,JB-7969-1934-BANK,Azra Lustenberger,reiciendis.mp4,1988-04-01T12:33:25,CH
+410796913630,JB-1060-5744-BANK,Jovan Wettstein,amet.flac,1987-01-20T19:59:56,CH
+41(0)763672662,JB-6418-1894-BANK,Justin Mettler,fuga.mp3,2009-06-22T01:00:32,CH
+410797345776,JB-7019-0326-BANK,Fitim Bolliger,modi.jpg,1973-07-02T16:25:53,CH
+41(0)761405645,JB-5965-6719-BANK,Kirsten Fuchs,minus.bmp,1970-07-01T06:35:23,CH
+41(0)783413983,JB-7825-3330-BANK,Detlef Studer,nemo.bmp,1988-05-13T21:47:44,CH
+41 777841494,JB-6462-6287-BANK,Tiziana Lutz,quas.mp4,1984-12-16T11:28:28,CH
+41 0765125955,JB-5162-7908-BANK,Domenico Brun,porro.jpeg,2011-08-01T14:16:08,CH
+41 775781405,JB-2270-7872-BANK,Maurizio Wenger,accusamus.numbers,2017-05-17T15:37:14,CH
0790321817,JB-3826-2265-BANK,Hulda Peter,distinctio.js,1980-07-06T02:03:12,CH
0791731210,JB-3399-4228-BANK,Charles Blum,modi.mov,2010-06-20T02:07:05,CH
+41(0)794835482,JB-4907-2754-BANK,Heidy Roos,modi.wav,2018-02-02T04:02:47,CH
+41 0766094156,JB-7481-0878-BANK,Danijela Merz,voluptate.bmp,1988-02-23T02:56:38,CH
+41 770032932,JB-5532-6406-BANK,Endrit Leunberger,nisi.webm,1979-08-12T22:34:34,CH
+41 760152221,JB-5052-0537-BANK,Lydie Fankhauser,ea.jpeg,2012-09-24T05:07:46,CH
+41765095930,JB-5308-4310-BANK,Enis Imhof,quia.wav,2010-09-16T14:01:48,CH
+41 760670179,JB-2053-2404-BANK,Driton Wagner,minus.css,2011-12-05T09:14:44,CH
+41 0777885691,JB-7171-2900-BANK,Bernhard Bucher,sapiente.pages,1971-08-22T06:11:47,CH
+41 0763066133,JB-5857-6232-BANK,Birgit Fankhauser,veritatis.wav,2007-07-23T18:02:14,CH
+41 790451087,JB-3799-5486-BANK,Ruzica Walter,ratione.mp3,1978-04-26T02:09:53,CH
+41 0792795601,JB-7979-4731-BANK,Emilie Hess,quis.flac,1992-01-10T08:02:34,CH
0777243492,JB-0872-2907-BANK,Milan Mäder,ipsa.odt,2017-04-27T23:57:25,CH
+41(0)791952887,JB-7874-0361-BANK,Hans Bachmann,vel.png,2004-11-19T09:32:28,CH
+41 762957241,JB-7615-1727-BANK,Florentina Fankhauser,at.mp4,1978-06-26T17:37:11,CH
0766835862,JB-4606-3798-BANK,Irmgard Blaser,vel.wav,2018-04-06T03:24:39,CH
+41 0785702710,JB-0106-2102-BANK,Peter Fankhauser,porro.tiff,1972-04-22T13:29:03,CH
+41(0)772305970,JB-5830-3255-BANK,Romina Bauer,ex.mov,2016-07-09T06:52:58,CH
+41 0763593990,JB-5512-5963-BANK,Vinzenz Fuchs,necessitatibus.odt,1998-03-06T22:11:18,CH
+41 0777456454,JB-2649-0124-BANK,Massimo Fischer,quia.mov,2003-11-07T20:15:36,CH
+410762593940,JB-6637-6762-BANK,Burak Leunberger,illo.mov,1998-02-26T06:43:04,CH
+41(0)770796893,JB-5283-7921-BANK,Niko Hodel,incidunt.mp3,2004-08-24T14:23:41,CH
0781627409,JB-3425-5859-BANK,Marianna Berger,laudantium.bmp,1998-06-04T21:19:14,CH
0784823088,JB-5092-6554-BANK,Cecilia Sigrist,voluptatibus.flac,1974-03-04T22:35:39,CH
+410784860455,JB-7141-3808-BANK,Dafina Braun,molestias.odp,1973-03-17T11:39:52,CH
+41(0)790946138,JB-5358-6591-BANK,Concetta Schwarz,minus.doc,2022-07-22T03:31:17,CH
+410793397439,JB-5252-2368-BANK,Corsin Probst,dicta.xlsx,1986-05-22T05:17:45,CH
+410771706762,JB-3223-5785-BANK,Santiago Bolliger,at.flac,2009-11-03T20:00:03,CH
+41766755433,JB-3411-4254-BANK,Meinrad Hürlimann,impedit.webm,1992-01-02T10:16:57,CH
+41 795814347,JB-5584-4382-BANK,Zuzana Steinmann,natus.css,2015-11-09T04:33:46,CH
+410796060856,JB-5232-6621-BANK,Lea Lüscher,id.png,1991-08-01T06:45:39,CH
0793981773,JB-7034-0885-BANK,Valerie Vogel,possimus.tiff,2004-06-01T07:57:25,CH
+41 0774413290,JB-5552-6073-BANK,Beda Zimmermann,deserunt.jpg,1998-10-10T16:29:38,CH
+41 0773106596,JB-1869-1395-BANK,Anna-Maria Grob,qui.mov,2013-06-11T22:08:16,CH
+41 0785474522,JB-3839-0848-BANK,Camille Schnyder,dicta.css,2006-11-29T07:37:40,CH
+41(0)794360251,JB-4249-1891-BANK,Pascal Roth,deserunt.css,2012-01-13T01:34:21,CH
+41 787480030,JB-6591-3700-BANK,Anne Hauser,voluptatibus.webm,2011-08-27T17:42:56,CH
+41 785444788,JB-7663-3113-BANK,Robin Steffen,mollitia.js,1981-09-13T13:40:54,CH
+410785555668,JB-3932-6142-BANK,Nelson Wegmann,necessitatibus.wav,1991-05-14T14:12:35,CH
+41(0)776235893,JB-7163-0178-BANK,Tenzin Wagner,nostrum.key,1978-02-12T18:43:50,CH
+410760316975,JB-3846-3269-BANK,Aida Isler,asperiores.webm,1998-09-11T10:32:30,CH
0760396203,JB-7742-3863-BANK,Andrea Bär,ab.pptx,2014-06-14T20:43:18,CH
+410790746423,JB-2156-3169-BANK,Joachim Lanz,ut.tiff,1983-10-08T16:19:07,CH
+410765231122,JB-0872-7041-BANK,Jakub Bosshard,cupiditate.flac,1980-06-05T13:48:28,CH
0792867819,JB-3020-0659-BANK,Meinrad Schlatter,vel.txt,1996-05-10T20:40:59,CH
+41787010904,JB-7991-7866-BANK,Viktor Eugster,eos.wav,1973-07-26T06:53:08,CH
+41775232560,JB-5356-6660-BANK,Ahmad Fuchs,sit.flac,2012-02-08T05:33:49,CH
0764853801,JB-5871-4370-BANK,Faruk Kern,ratione.ppt,1990-07-03T06:03:55,CH
+41775194658,JB-5510-4945-BANK,Marie-Christine Zürcher,occaecati.tiff,2006-12-30T00:49:52,CH
+410790887460,JB-2735-0700-BANK,Slavisa Hotz,nulla.wav,2008-11-22T01:17:15,CH
0772236186,JB-4162-5826-BANK,Gino Felder,quidem.wav,1976-10-01T22:45:28,CH
+41(0)776847104,JB-6810-7091-BANK,Tenzin Kägi,aliquid.csv,1985-08-09T02:05:27,CH
+41 0782860912,JB-3056-0607-BANK,Mergim Bieri,autem.txt,2008-12-26T15:46:56,CH
+41(0)774667079,JB-4483-3792-BANK,Annabelle Lehmann,occaecati.css,1997-11-06T15:00:48,CH
+41(0)765711924,JB-7810-2047-BANK,Michele Ott,modi.webm,1991-10-12T14:56:52,CH
+410772235360,JB-3998-5296-BANK,Bastian Zingg,nihil.tiff,2017-05-24T09:00:08,CH
+41765565321,JB-0679-6381-BANK,Günter Felber,repellendus.mov,2012-11-18T22:44:43,CH
+41 0764530334,JB-6115-5126-BANK,Marco Braun,dolorum.ppt,1993-09-18T10:55:34,CH
0797653508,JB-5134-7629-BANK,Alisa Vogel,odio.doc,2005-06-23T12:06:52,CH
+41(0)786051527,JB-2517-1838-BANK,Edmond Erni,adipisci.ppt,1994-04-17T23:57:25,CH
+41(0)774816974,JB-5914-5419-BANK,Lejla Gloor,aspernatur.mp3,2000-05-02T07:36:09,CH
+410765153080,JB-6445-2050-BANK,Matti Spörri,iusto.mp4,1996-04-23T10:24:16,CH
+41784560067,JB-7276-0886-BANK,Jason Stöckli,assumenda.webm,1992-06-24T14:33:49,CH
+41760041782,JB-0721-0575-BANK,Marijana Egger,accusantium.wav,1977-02-24T10:30:12,CH
+410783045465,JB-4588-1378-BANK,Nuno Vogt,quisquam.tiff,2017-11-18T03:45:03,CH
+41(0)771396960,JB-3447-2537-BANK,Eric Gut,sit.wav,1993-06-20T00:54:50,CH
+41 764761690,JB-3051-4463-BANK,Delphine Zingg,architecto.key,1993-10-05T02:23:52,CH
+41784690565,JB-6259-6999-BANK,Jason Albrecht,quia.doc,1985-03-31T22:01:51,CH
+41 761333611,JB-4746-2101-BANK,Kenan Imhof,eveniet.gif,2011-01-29T01:05:44,CH
+41 0777915680,JB-5451-5785-BANK,Nikolaus Ernst,a.jpg,1993-04-17T23:26:28,CH
+41764126408,JB-1874-6332-BANK,Amalia Blum,esse.mp4,1981-03-24T04:04:23,CH
+41(0)776047509,JB-3939-5162-BANK,Malgorzata Hess,tempora.xlsx,1992-11-12T12:42:48,CH
+41775890135,JB-6711-6648-BANK,Elvis Hermann,error.png,1996-07-18T17:24:26,CH
+41781050172,JB-0421-0363-BANK,Simeon Flückiger,aut.png,2004-02-03T19:51:31,CH
+41 793987836,JB-1673-5362-BANK,Cordula Wagner,architecto.jpeg,1975-12-16T16:49:56,CH
+410786727742,JB-7067-5400-BANK,Erina Bachmann,repellendus.docx,2007-02-27T04:53:06,CH
+41 0760204407,JB-7346-4559-BANK,Khadija Jäggi,fuga.json,2000-11-19T22:06:45,CH
+41760877314,JB-2411-7524-BANK,Cosimo Geiger,cum.mp4,1989-05-01T04:17:05,CH
+41791087418,JB-6564-4662-BANK,Xaver Wüthrich,provident.json,1973-06-19T23:19:16,CH
+41786547327,JB-1874-3370-BANK,Levin Maier,voluptas.flac,1971-11-16T14:11:37,CH
+41776365778,JB-1547-2700-BANK,Yusuf Schnyder,nam.css,1972-03-29T04:51:10,CH
+41790636781,JB-0671-3897-BANK,Virginia Steinmann,nihil.jpg,1984-04-05T17:22:52,CH
+410771952120,JB-1086-0166-BANK,Nikolaus Seiler,quas.pptx,1996-06-27T20:23:37,CH
+41774344439,JB-5336-4063-BANK,Van Felber,modi.pptx,1994-09-18T17:09:12,CH
+410777441397,JB-1902-7701-BANK,Kristin Kunz,eaque.js,2019-08-26T22:03:02,CH
0763671044,JB-3554-2349-BANK,Agnese Stettler,possimus.png,1991-10-25T10:10:16,CH
+410790174180,JB-2328-7540-BANK,Magali Bachmann,dolores.ppt,1980-10-19T03:31:52,CH
0795092363,JB-7123-2201-BANK,Joëlle Roth,numquam.txt,1981-08-25T06:19:36,CH
+41(0)777672821,JB-7420-6286-BANK,Franziska Schärer,itaque.flac,2002-09-08T00:33:31,CH
+41 767691521,JB-4008-1602-BANK,Lola Peter,vero.txt,2007-06-06T11:50:44,CH
+41 775377835,JB-1553-2476-BANK,Balz Blum,aliquid.json,1971-05-14T18:41:00,CH
+410793495960,JB-0920-0854-BANK,Marie-José Gasser,earum.js,1991-09-10T05:26:50,CH
+41 795737189,JB-4589-0672-BANK,Enea Walder,nulla.bmp,1998-03-16T01:02:11,CH
+41 0785603202,JB-0686-0712-BANK,Vanessa Hafner,ratione.gif,2018-11-30T22:56:34,CH
0780170402,JB-4010-3922-BANK,Paolo Hürlimann,sapiente.xlsx,1987-02-27T17:09:31,CH
+41767683250,JB-4934-5016-BANK,Adrian Iten,amet.jpg,2015-08-31T23:43:03,CH
+41 0790983962,JB-2953-1211-BANK,Krzysztof Wirth,eius.mp3,1982-03-13T06:58:14,CH
+41(0)791352939,JB-0410-2533-BANK,Elfriede Fischer,porro.mov,2014-02-20T18:37:19,CH
+41762604683,JB-7416-3285-BANK,Gino Meister,voluptatem.mp4,1983-06-03T05:52:10,CH
+41781340203,JB-0346-5323-BANK,Alessandro Schuler,beatae.pages,2009-03-17T10:07:58,CH
+410774025641,JB-5892-3958-BANK,Enea Ott,dolorum.docx,1983-09-11T23:32:58,CH
+41(0)760391862,JB-0763-1632-BANK,Gregor Walter,vel.jpeg,2005-07-18T20:32:59,CH
+41 0781801435,JB-5903-1076-BANK,Dirk Lutz,quibusdam.png,2011-09-26T20:01:16,CH
+410773212337,JB-1532-3653-BANK,Hansueli Widmer,ratione.avi,1975-12-23T02:51:20,CH
+41796602497,JB-0655-0405-BANK,Felix Weibel,tempora.flac,1970-06-16T01:01:47,CH
+41796880812,JB-1627-2056-BANK,Morgane Fehr,ad.flac,1996-02-11T20:44:25,CH
+41 794782124,JB-1020-6502-BANK,Florentina Martin,in.numbers,1971-04-12T11:51:44,CH
+41 0760840991,JB-3757-5419-BANK,Helena Felder,repellendus.gif,2020-03-04T17:53:33,CH
+41 0791531355,JB-4184-3278-BANK,Ilse Wegmann,repellat.tiff,2022-07-06T08:09:46,CH
+410791406262,JB-0701-4293-BANK,Theodor Furrer,doloribus.ods,1975-05-10T02:09:08,CH
+41(0)762950081,JB-2416-5476-BANK,Marcin Schmidt,officia.csv,1982-06-04T03:44:49,CH
+41 0761486372,JB-1982-1913-BANK,Egon Wirth,ipsam.js,1998-01-22T18:10:38,CH
+410787014613,JB-3001-2877-BANK,Azra Kaiser,magnam.avi,2009-04-16T21:48:51,CH
0771992516,JB-1233-3481-BANK,Aurelia Hofmann,alias.jpg,2005-02-02T11:54:40,CH
+41 773292912,JB-6675-5956-BANK,Dilara Wehrli,ipsa.wav,2015-10-09T04:19:34,CH
+41 767157182,JB-6352-3212-BANK,Jeremias Stutz,doloremque.jpg,1992-09-12T20:05:40,CH
+41(0)783737652,JB-7511-5277-BANK,Selin Merz,cum.webm,1994-08-04T05:54:48,CH
+410787707532,JB-1024-1963-BANK,Ewald Keller,non.txt,2021-08-24T07:11:08,CH
0777680258,JB-4215-2296-BANK,Nikolina Stalder,sit.pages,2006-08-15T15:41:50,CH
+41 796376805,JB-1429-1815-BANK,Norman Probst,sapiente.webm,1977-01-08T00:01:33,CH
+41(0)794704784,JB-6771-7896-BANK,Marie-Claude Hasler,assumenda.doc,1970-10-25T22:19:53,CH
+41(0)781562608,JB-5289-2603-BANK,Nael Baumann,magnam.bmp,1999-02-16T16:34:59,CH
0770331624,JB-7031-2561-BANK,Noëlle Ernst,sapiente.mp4,1993-10-26T06:28:55,CH
0760705802,JB-7968-1451-BANK,Julio Meyer,harum.css,2001-09-03T11:33:47,CH
+41761402609,JB-7539-1243-BANK,Kiara Bühlmann,veniam.odp,1991-10-29T17:21:40,CH
+41(0)770913296,JB-3717-4412-BANK,Priska Bär,esse.css,1985-09-04T11:47:30,CH
+41794917954,JB-4370-5552-BANK,Adrian Lang,natus.doc,2016-01-20T05:39:11,CH
+41763997496,JB-4256-2828-BANK,Camilla Wirth,sed.csv,2002-06-28T02:27:20,CH
+41786102953,JB-4926-6646-BANK,Beatriz Kern,provident.jpeg,2005-08-18T10:08:13,CH
+410762695534,JB-2740-2473-BANK,Danielle Seiler,dolorem.flac,1999-09-06T09:25:27,CH
+41(0)771262034,JB-6747-2934-BANK,Abraham Pfister,ipsa.bmp,2000-02-20T15:19:54,CH
+41(0)767971756,JB-6059-2450-BANK,Georgios Pfister,officia.csv,2018-01-28T02:34:05,CH
+41 0784544689,JB-4748-7324-BANK,Dino Furrer,animi.pptx,2003-07-24T03:02:53,CH
+41 792041736,JB-5402-3717-BANK,Micheline Bühlmann,tenetur.jpeg,2013-10-23T21:42:19,CH
+41 795291004,JB-2010-5486-BANK,Fatih Felber,debitis.mp3,1970-11-17T08:04:38,CH
+41791876969,JB-6803-6555-BANK,Khadija Eugster,accusamus.csv,2023-07-12T08:02:59,CH
+41(0)775616191,JB-6996-1988-BANK,Moreno Graf,pariatur.wav,1972-03-06T00:08:24,CH
+41(0)774680272,JB-4079-6448-BANK,Marie-José Hofmann,rerum.wav,1982-09-09T02:02:50,CH
0761102731,JB-2584-6373-BANK,Samantha Beck,asperiores.avi,1993-09-26T00:09:44,CH
+410787117803,JB-6121-3919-BANK,Gianna Bär,temporibus.json,2016-01-13T21:21:39,CH
+410775172912,JB-4867-1262-BANK,Guido Lüscher,beatae.png,2009-10-29T16:39:31,CH
0762571573,JB-7313-3283-BANK,Khaled Kunz,qui.mp3,2005-03-25T07:03:07,CH
+41793290139,JB-1661-6488-BANK,Arsim Hartmann,accusamus.html,2011-01-18T20:22:44,CH
+41(0)762246991,JB-1607-3990-BANK,Anastasia Bär,maiores.txt,1989-07-12T06:35:59,CH
+41 0764850471,JB-4453-2065-BANK,Marko Blum,dolor.ods,1982-12-17T20:07:56,CH
+41 777441536,JB-3825-3809-BANK,Anaïs Hofer,est.js,2000-07-11T06:32:11,CH
+410793523833,JB-2180-4540-BANK,Dagmar Frick,excepturi.mov,2006-08-07T07:28:28,CH
0776151389,JB-2829-5811-BANK,Amélie Lutz,nihil.mp4,2021-11-17T00:14:04,CH
+41 774253040,JB-0155-3865-BANK,Arnold Schnyder,unde.txt,2012-06-18T08:43:46,CH
+410786060722,JB-4669-3808-BANK,Kim Fehr,et.tiff,2009-11-27T07:37:58,CH
+41771725389,JB-1046-2932-BANK,Sinisa Stalder,maxime.mp4,1981-09-16T01:46:39,CH
+41(0)794964569,JB-0705-1842-BANK,Janic Tanner,eum.jpeg,1983-12-12T18:33:57,CH
+41 765502082,JB-2536-0907-BANK,Ariana Bucher,labore.txt,2012-01-26T08:55:14,CH
+41767295821,JB-3090-6517-BANK,Louisa Lustenberger,dolores.avi,2019-02-03T15:07:19,CH
+41 0770023045,JB-6561-6730-BANK,Onur Staub,cum.flac,1999-05-19T18:45:54,CH
0784150844,JB-5451-4715-BANK,Arda Hermann,nulla.mp4,2000-04-22T15:44:26,CH
+41785474863,JB-1642-0830-BANK,Valon Pfister,sint.flac,2016-02-14T07:29:47,CH
+41 0766122398,JB-2474-5756-BANK,Raffaele Bader,possimus.tiff,2017-12-16T14:03:58,CH
+41 771821256,JB-5897-5590-BANK,Mischa Forster,fugit.ppt,2004-06-02T08:36:29,CH
+41(0)777797774,JB-4808-0751-BANK,Manfred Hug,deserunt.odt,1990-11-05T08:55:14,CH
0776235708,JB-6981-5071-BANK,Jean-Claude Stettler,iste.json,2015-02-16T07:52:13,CH
+41(0)786033039,JB-6043-4574-BANK,Ulrike Schlatter,corporis.mp3,1990-01-29T12:44:50,CH
+41(0)785966894,JB-3908-2788-BANK,Bianca Braun,doloremque.wav,1982-03-17T08:10:53,CH
0781651846,JB-2407-0554-BANK,Gabriel Stöckli,incidunt.bmp,1999-02-10T03:53:48,CH
+41 770170021,JB-7985-4794-BANK,Marianne Stucki,ullam.mp3,1985-07-03T18:27:31,CH
+41(0)766844721,JB-2494-4571-BANK,Myrta Flückiger,autem.avi,2007-12-01T02:59:36,CH
0787247032,JB-5312-5725-BANK,Ian Schweizer,totam.html,1985-04-04T03:14:51,CH
+41 783561364,JB-3417-1290-BANK,Joachim Walder,quaerat.js,1981-02-20T19:19:11,CH
+410790452874,JB-2512-2268-BANK,Flora Schuler,culpa.bmp,1997-09-30T04:01:04,CH
+410783282797,JB-4669-2029-BANK,Ernest Maurer,saepe.mp4,1972-09-27T20:53:29,CH
+41(0)771470187,JB-3622-4347-BANK,Anne-Marie Portmann,distinctio.pptx,1981-10-03T00:13:51,CH
+410774215450,JB-0228-3898-BANK,Laszlo Keller,fugiat.docx,1991-06-11T11:12:18,CH
+410783650822,JB-0610-7195-BANK,Alisa Stadelmann,iure.docx,2021-08-25T11:40:19,CH
+41 770856463,JB-6484-5915-BANK,Zita Hodel,numquam.gif,1970-03-11T04:01:42,CH
+410787955813,JB-5624-1247-BANK,Sophie Kunz,accusantium.mp3,1989-08-31T23:03:42,CH
+41 0767482948,JB-0823-1257-BANK,Ahmed Wettstein,nisi.flac,2016-12-22T21:07:16,CH
0784467982,JB-5469-1928-BANK,Marc Sidler,eaque.png,2019-07-30T15:01:00,CH
0783456454,JB-4923-3405-BANK,Bernadette Stadelmann,iure.mp4,1975-02-25T07:47:52,CH
+41(0)795876656,JB-2667-4184-BANK,Hans Zingg,saepe.wav,1981-03-28T00:10:27,CH
+41 761450294,JB-5446-4575-BANK,Pedro Arnold,consequuntur.html,1989-10-26T23:02:05,CH
+41(0)770667122,JB-5282-6052-BANK,Marika Steiner,blanditiis.js,1979-11-28T01:56:29,CH
+41783710385,JB-4182-1973-BANK,Marcello Ritter,aspernatur.csv,1982-03-09T16:55:17,CH
