email,zrnr,iban,hostname,company,city,date_time,iso8601,time,pricetag,timezone,file_name,country,random_number,bank_country
mattias.heuser@hotmail.com,JB-1678-1145-BANK,DE75131507993256225460,desktop-58.schmidt.org,Pärtzelt,Oberviechtach,2008-02-22 03:25:17,2003-03-09T19:19:38,00:38:21,"95,07 €",Africa/Ndjamena,wissen.webm,Georgien,33,DE
hajo.zorbach@gmx.de,JB-6464-1506-BANK,DE02003535972317904448,laptop-92.hering.de,Dietz,Dresden,1974-04-01 18:08:38,2022-05-30T07:47:19,11:25:09,"56.641,63 €",Asia/Qatar,Onkel.mov,Äußeres Ozeanien,5845,DE
hans-hermann.gude@gmx.de,JB-4971-4506-BANK,DE94976246014281906613,srv-62.moechlichen.org,Löwer AG & Co. OHG,Grimma,2018-12-31 08:56:42,2009-09-22T08:41:43,07:29:54,"79,13 €",Africa/Dar_es_Salaam,Wohnung.avi,Algerien,6933483,DE
babett.löchel@gmx.de,JB-1924-5369-BANK,DE94050117065400410078,srv-51.groettner.com,Beier Weller GmbH,Sternberg,1997-02-15 17:09:09,2001-11-14T18:34:55,10:28:29,"65,59 €",America/Costa_Rica,dürfen.js,Albanien,58307,DE
fredo.weitzel@msn.com,JB-3075-6796-BANK,DE59238176840055527569,email-90.schaaf.de,Bohlander KG,Stade,1991-08-02 11:02:59,2012-06-01T01:19:45,18:52:11,"3,49 €",Africa/Windhoek,Gott.mov,Vatikanstadt,579267,DE
adelgunde.finke@gmx.de,JB-5174-2595-BANK,DE32219988491106039989,email-91.trapp.de,Hering Pölitz GmbH,Hannoversch Münden,1978-11-09 19:57:29,2000-10-27T04:23:20,18:08:58,"2,71 €",Asia/Aden,rot.avi,Kroatien,4850,DE
mariechen.budig@proton.ch,JB-3754-1204-BANK,DE97913470592519008622,email-75.baum.de,Kramer,Scheinfeld,1993-05-05 21:48:56,1996-12-11T14:11:45,08:40:21,"583,14 €",Asia/Tehran,also.mp3,Ghana,81044904,DE
siegmund.pärtzelt@gmail.com,JB-0106-3605-BANK,DE91554592197535114524,db-67.stumpf.com,Sontag Kohl GmbH,Sankt Goarshausen,1989-07-29 01:22:06,2018-10-04T03:19:47,18:48:59,"41,55 €",America/Antigua,Lehrer.mp3,Trinidad und Tobago,9,DE
ibrahim.stoll@hotmail.com,JB-7411-4935-BANK,DE87805618814521066657,web-77.vollbrecht.net,Hänel,Halberstadt,2019-04-11 03:48:45,2004-12-27T17:57:54,22:21:42,"8,80 €",Europe/Tirane,Straße.odt,Tonga,816126,DE
albin.mosemann@gmx.de,JB-3944-3681-BANK,DE60006401198168528252,desktop-79.roskoth.de,Margraf KG,Erfurt,1984-05-08 08:28:55,1990-01-16T08:58:17,16:05:06,"995,84 €",Europe/Tallinn,warum.mov,Demokratische Volksrepublik Korea,3433,DE
